id,title,wards,point,createdOn,modifiedOn,titleNe,description,cause,verified,verificationMessage,approved,polygon,incidentOn,reportedOn,streetAddress,detail,needFollowup,region,regionId,dataSourceId,dataSource,source,event,hazard,loss,createdBy,updatedBy,hazard_name,month,year
43025,Landslide at Bakaiya Rural Municipality-11,[2390],"{'type': 'Point', 'coordinates': [85.24376476, 27.41295855]}",2020-02-28T05:04:52.897435+05:45,2025-10-28T15:59:33.501698+05:45,,,,True,,True,,2019-05-29 18:15:00+00:00,2019-05-31T14:37:50+05:45,,,False,,,43025,drr_api,nepal_police,,17,433827,,,landslide,5,2019
46820,"Landslide at Betani, Pokhara Lekhnath Metropolitan City-28",[3853],"{'type': 'Point', 'coordinates': [84.09816903, 28.20592527]}",2020-05-24T09:20:08.261046+05:45,2025-10-28T15:58:18.866945+05:45,,,,True,,True,,2020-05-22 18:15:00+00:00,2020-05-24T08:56:01+05:45,Betani,,False,,,46820,drr_api,nepal_police,,17,432148,,,landslide,5,2020
45584,"Landslide at Shantinagar, Purbichauki Rural Municipality-1",[595],"{'type': 'Point', 'coordinates': [81.03618282, 29.28111965]}",2020-02-28T04:41:04.944259+05:45,2025-10-28T15:58:43.589470+05:45,,,,True,,True,,2020-01-16 18:15:00+00:00,2020-01-18T16:35:55+05:45,Shantinagar,,False,,,45584,drr_api,nepal_police,,17,432596,,,landslide,1,2020
45578,"Landslide at Panglung Toll, Bagmati Rural Municipality-3",[1954],"{'type': 'Point', 'coordinates': [85.29609276, 27.51082098]}",2020-02-28T04:41:05.470892+05:45,2025-10-28T15:58:43.701389+05:45,,,,True,,True,,2020-01-16 18:15:00+00:00,2020-01-18T16:27:33+05:45,Panglung Toll,,False,,,45578,drr_api,nepal_police,,17,432600,,,landslide,1,2020
45577,"Landslide at Syaulibazar, Dakshinkali Municipality-8",[3825],"{'type': 'Point', 'coordinates': [85.2620364, 27.58799427]}",2020-02-28T04:41:05.553227+05:45,2025-10-28T15:58:43.718504+05:45,,,,True,,True,,2020-01-16 18:15:00+00:00,2020-01-18T16:25:44+05:45,Syaulibazar,,False,,,45577,drr_api,nepal_police,,17,432601,,,landslide,1,2020
81040,"Landslide at Mahalakshmi , Makawanpurgadhi Rural Municipality-5",[2308],"{'type': 'Point', 'coordinates': [85.08797, 27.4427]}",2025-07-12T10:17:06.893142+05:45,2025-10-28T15:46:47.050429+05:45,"बाग्मती, मकवानपुर, मकवानपुरगढी-५ मा पहिरो",,,True,,True,,2025-07-10 18:15:00+00:00,2025-07-12T09:51:09+05:45,Mahalakshmi ,,False,,,77209,drr_api,nepal_police,,17,403416,,,landslide,7,2025
81042,Flood at Phaktanglung Rural Municipality-6,[1817],"{'type': 'Point', 'coordinates': [87.82613, 27.60988]}",2025-07-12T10:17:07.060998+05:45,2025-10-28T15:46:47.098165+05:45,"कोशी, ताप्लेजुङ्ग, फक्ताङलुङ-६ मा बाढी",,,True,,True,,2025-07-08 18:15:00+00:00,2025-07-12T09:48:14+05:45,,,False,,,77207,drr_api,nepal_police,,11,361484,,,flood,7,2025
81043,Flood at Jugal Rural Municipality-2,[2899],"{'type': 'Point', 'coordinates': [85.75568, 27.90711]}",2025-07-12T10:17:07.135302+05:45,2025-10-28T15:46:47.115928+05:45,"बाग्मती, सिन्धुपाल्चोक, जुगल-२ मा बाढी",,,True,,True,,2025-07-10 18:15:00+00:00,2025-07-12T09:39:24+05:45,,,False,,,77206,drr_api,nepal_police,,11,403419,,,flood,7,2025
42426,Landslide at Khandachakra Municipality-7,[795],"{'type': 'Point', 'coordinates': [81.71602987, 29.14273348]}",2020-02-28T05:05:28.312140+05:45,2025-10-28T15:59:44.985744+05:45,,,,True,,True,,2019-04-20 18:15:00+00:00,2019-04-22T14:19:30+05:45,,,False,,,42426,drr_api,nepal_police,,17,434078,,,landslide,4,2019
46770,"Flood at Tanglapa, Falelung Rural Municipality-3",[1241],"{'type': 'Point', 'coordinates': [87.94642285, 27.20900864]}",2020-05-17T17:40:15.511561+05:45,2025-10-28T15:58:19.788007+05:45,,,,True,,True,,2020-05-15 18:15:00+00:00,2020-05-17T17:33:19+05:45,Tanglapa,,False,,,46770,drr_api,nepal_police,,11,432164,,,flood,5,2020
44601,"Landslide at Dobhan, Makalu Rural Municipality-5",[1648],"{'type': 'Point', 'coordinates': [87.34290804, 27.53318202]}",2020-02-28T05:02:48.025001+05:45,2025-10-28T15:59:03.856319+05:45,,,,True,,True,,2019-09-22 18:15:00+00:00,2019-09-23T12:16:23+05:45,Dobhan,,False,,,44601,drr_api,nepal_police,,17,432908,,,landslide,9,2019
44594,"Landslide at Devisthan, Malika Rural Municipality-4",[1139],"{'type': 'Point', 'coordinates': [83.31421372, 28.42919362]}",2020-02-28T05:02:48.794504+05:45,2025-10-28T15:59:03.988439+05:45,,,,True,,True,,2019-09-20 18:15:00+00:00,2019-09-22T12:41:48+05:45,Devisthan,,False,,,44594,drr_api,nepal_police,,17,432914,,,landslide,9,2019
44580,"Landslide at Jhokedi, Rambha Rural Municipality-2",[5727],"{'type': 'Point', 'coordinates': [83.69563261, 27.87868972]}",2020-02-28T05:02:50.069270+05:45,2025-10-28T15:59:04.257316+05:45,,,,True,,True,,2019-09-17 18:15:00+00:00,2019-09-22T12:04:50+05:45,Jhokedi,,False,,,44580,drr_api,nepal_police,,17,25485,,,landslide,9,2019
35727,Flood at Rautamai Rural Municipality-7,[2759],"{'type': 'Point', 'coordinates': [86.66463, 26.93279]}",2020-02-28T05:16:25.656774+05:45,2025-10-28T15:54:12.215064+05:45,,,,True,,True,,2017-08-12 18:15:00+00:00,2017-08-27T00:00:00+05:45,,,False,,,35727,drr_api,other,,11,423047,,,flood,8,2017
35719,"Flood at Shivasatasi-8, Barhadashi Rural Municipality-7",[6321],"{'type': 'Point', 'coordinates': [87.91446, 26.58323]}",2020-02-28T05:16:26.180261+05:45,2025-10-28T15:54:12.346189+05:45,,,,True,,True,,2017-08-18 18:15:00+00:00,2017-08-27T00:00:00+05:45,Shivasatasi-8,,False,,,35719,drr_api,other,,11,423055,,,flood,8,2017
40846,Landslide at Bidur Municipality-11,[3650],"{'type': 'Point', 'coordinates': [85.18955271, 27.95391867]}",2020-02-28T05:07:08.903981+05:45,2025-10-28T15:52:41.965813+05:45,,,,True,,True,,2019-01-01 18:15:00+00:00,2019-01-02T11:34:05+05:45,,,False,,,40846,drr_api,nepal_police,,17,419037,,,landslide,1,2019
44408,"Landslide at Nagidanda, Panchakhapan Municipality-7",[1641],"{'type': 'Point', 'coordinates': [87.3190853, 27.33149084]}",2020-02-28T05:03:05.212893+05:45,2025-10-28T15:59:07.799122+05:45,,,,True,,True,,2019-09-02 18:15:00+00:00,2019-09-05T11:54:13+05:45,Nagidanda,,False,,,44408,drr_api,nepal_police,,17,25656,,,landslide,9,2019
39705,Landslide at Chankheli Rural Municipality-5,[5107],"{'type': 'Point', 'coordinates': [82.25208749, 29.93645727]}",2020-02-28T05:08:15.645075+05:45,2025-10-28T15:53:01.631218+05:45,,,,True,,True,,2018-09-14 18:15:00+00:00,2018-09-16T11:55:18+05:45,,,False,,,39705,drr_api,nepal_police,,17,419694,,,landslide,9,2018
